,title,link,pubDate,description
0,"Delta and American cut flights, freeze hiring as coronavirus hurts travel demand",https://www.cnbc.com/2020/03/10/delta-makes-deep-flight-cuts-as-coronavirus-hurts-demand-ceo-expects-it-to-get-worse.html,"Tue, 10 Mar 2020 07:00:00 GMT","Delta and American cut flights, freeze hiring as coronavirus hurts travel demand"
1,Delta Air Lines takes dramatic steps to cut its losses from coronavirus slowdown,https://www.startribune.com/delta-air-lines-takes-dramatic-steps-to-cut-its-losses-from-coronavirus-slowdown/568664172/,"Tue, 10 Mar 2020 07:00:00 GMT",Delta Air Lines takes dramatic steps to cut its losses from coronavirus slowdown
2,American and Delta slash US and overseas flights as coronavirus causes a plunge in bookings,https://www.cnn.com/2020/03/10/business/airline-flights-coronavirus/index.html,"Tue, 10 Mar 2020 07:00:00 GMT",American and Delta slash US and overseas flights as coronavirus causes a plunge in bookings
3,Coronavirus: Delta suspends all flights to Italy,https://www.ajc.com/blog/airport/coronavirus-delta-suspends-all-flight-italy/a0q9J3FipKV49c6RxaxBiL/,"Tue, 10 Mar 2020 07:00:00 GMT",Coronavirus: Delta suspends all flights to Italy
4,"Delta, American Airlines announce reduction in domestic and international service",https://www.foxnews.com/travel/delta-american-airlines-announce-reduction-in-both-domestic-international-service-coronavirus,"Tue, 10 Mar 2020 07:00:00 GMT","Delta, American Airlines announce reduction in domestic and international service"
5,"Delta, American Slash Flights Amid Coronavirus Travel Slump; United Warns Of First-Quarter Loss",https://www.forbes.com/sites/jeremybogaisky/2020/03/10/delta-american-slash-flights-amid-coronavirus-travel-slump/,"Tue, 10 Mar 2020 07:00:00 GMT","Delta, American Slash Flights Amid Coronavirus Travel Slump; United Warns Of First-Quarter Loss"
6,"Coronavirus prompts Delta, Southwest Airlines to enhance sanitation measures",https://www.foxbusiness.com/lifestyle/delta-southwest-airlines-sanitation-safety-coronavirus,"Tue, 10 Mar 2020 07:00:00 GMT","Coronavirus prompts Delta, Southwest Airlines to enhance sanitation measures"
7,"Delta plans to cut flights, ground aircraft and hoard cash as virus hammers demand",https://www.flightglobal.com/networks/delta-plans-to-cut-flights-ground-aircraft-and-hoard-cash-as-virus-hammers-demand/137165.article,"Tue, 10 Mar 2020 07:00:00 GMT","Delta plans to cut flights, ground aircraft and hoard cash as virus hammers demand"
8,"Delta slashes flight capacity by 40%, parks 300 planes in deepest cuts in company history",https://www.usatoday.com/story/travel/airline-news/2020/03/10/coronavirus-american-airlines-flight-cuts-international-domestic-summer-travel/5005702002/,"Tue, 10 Mar 2020 07:00:00 GMT","Delta slashes flight capacity by 40%, parks 300 planes in deepest cuts in company history"
9,"Delta announces hiring freeze, will offer voluntary leave to employees as coronavirus takes hold",https://www.cbs46.com/news/delta-announces-hiring-freeze-will-offer-voluntary-leave-to-employees-as-coronavirus-takes-hold/article_42ddd8ee-62c9-11ea-bb29-5bc363b2cba7.html,"Tue, 10 Mar 2020 07:00:00 GMT","Delta announces hiring freeze, will offer voluntary leave to employees as coronavirus takes hold"
10,"American Airlines, Delta cut international, domestic flights due to coronavirus",https://www.abc15.com/news/business/american-airlines-delta-cut-international-domestic-flights-due-to-coronavirus,"Tue, 10 Mar 2020 07:00:00 GMT","American Airlines, Delta cut international, domestic flights due to coronavirus"
11,"American, Delta cut routes and Southwest, United reduce CEO pay on coronavirus fears",https://www.washingtonpost.com/business/2020/03/10/delta-american-southwest-united-coronavirus/,"Tue, 10 Mar 2020 07:00:00 GMT","American, Delta cut routes and Southwest, United reduce CEO pay on coronavirus fears"
12,"Airlines slash flights, freeze hiring as virus cuts travel",https://abcnews.go.com/Travel/wireStory/airlines-slash-flights-freeze-hiring-virus-cuts-travel-69504261,"Tue, 10 Mar 2020 07:00:00 GMT","Airlines slash flights, freeze hiring as virus cuts travel"
13,Airlines take variety of measures to deal with financial impact of COVID-19,https://www.wfaa.com/article/money/business/how-airlines-are-dealing-with-the-financial-impact-of-covid-19/287-37fba9d8-98f4-4852-98a0-2c230a313a41,"Tue, 10 Mar 2020 07:00:00 GMT",Airlines take variety of measures to deal with financial impact of COVID-19
14,How US Airlines Are Responding to Coronavirus,https://www.travelpulse.com/news/airlines/how-us-airlines-are-responding-to-coronavirus.html,"Tue, 10 Mar 2020 07:00:00 GMT",How US Airlines Are Responding to Coronavirus
15,"Coronavirus update: 118,100 cases, 4,262 deaths, airlines cut capacity and some CEOs take pay cuts",https://www.marketwatch.com/story/coronavirus-update-116119-cases-4087-deaths-airlines-cut-capacity-and-some-ceos-take-pay-cuts-2020-03-10,"Tue, 10 Mar 2020 07:00:00 GMT","Coronavirus update: 118,100 cases, 4,262 deaths, airlines cut capacity and some CEOs take pay cuts"
16,Airlines step up cleaning procedures in response to coronavirus outbreak,https://www.foxnews.com/travel/airlines-cleaning-increased-coronavirus,"Tue, 10 Mar 2020 07:00:00 GMT",Airlines step up cleaning procedures in response to coronavirus outbreak
17,"United, Delta and American Airlines Coronavirus Cancellation & Change Policy",https://www.traveloffpath.com/united-delta-and-american-airlines-coronavirus-cancellation-change-policy/,"Tue, 10 Mar 2020 07:00:00 GMT","United, Delta and American Airlines Coronavirus Cancellation & Change Policy"
18,Passenger posts video of 'mostly empty' flight to Orlando amid coronavirus,https://www.fox5atlanta.com/news/passenger-posts-video-of-mostly-empty-flight-to-orlando-amid-coronavirus,"Tue, 10 Mar 2020 07:00:00 GMT",Passenger posts video of 'mostly empty' flight to Orlando amid coronavirus
19,Detroit Metro braces for reduced traffic due as airlines trim flights due to coronavirus,https://www.detroitnews.com/story/business/2020/03/10/detroit-metro-airport-braces-reduced-traffic-due-coronavirus/5003537002/,"Tue, 10 Mar 2020 07:00:00 GMT",Detroit Metro braces for reduced traffic due as airlines trim flights due to coronavirus
20,"American, United, Delta cut domestic flights as coronavirus saps demand",https://www.inquirer.com/health/coronavirus/airlines-american-united-cut-flights-coronavirus-20200310.html,"Tue, 10 Mar 2020 07:00:00 GMT","American, United, Delta cut domestic flights as coronavirus saps demand"
21,Coronavirus to suspend ILM's United flight to Chicago | WilmingtonBiz,http://www.wilmingtonbiz.com/more_news/2020/03/10/coronavirus_to_suspend_ilms_united_flight_to_chicago/20048,"Tue, 10 Mar 2020 07:00:00 GMT",Coronavirus to suspend ILM's United flight to Chicago | WilmingtonBiz
22,Airlines cut flights as demand plummets,https://www.marketplace.org/2020/03/10/airlines-cut-flights-as-demand-plummets/,"Tue, 10 Mar 2020 07:00:00 GMT",Airlines cut flights as demand plummets
23,Europe Proposes Lifting Airport Slot Rules to Ease Pressure on Airlines From Virus,https://www.wsj.com/articles/europe-set-to-lift-airport-slot-rules-to-ease-pressure-on-airlines-from-virus-11583847577,"Tue, 10 Mar 2020 07:00:00 GMT",Europe Proposes Lifting Airport Slot Rules to Ease Pressure on Airlines From Virus
24,"American Airlines slashes schedule, increases flexibility for customer rebookings",https://paxex.aero/american-airlines-schedule-cuts-coronavirus/,"Tue, 10 Mar 2020 07:00:00 GMT","American Airlines slashes schedule, increases flexibility for customer rebookings – PaxEx.Aero"
25,"Here are the latest coronavirus travel waivers from airlines, Amtrak and Greyhound",https://www.king5.com/article/news/health/coronavirus/airline-amtrak-greyhound-coronavirus-travel-waivers/507-fd986f0d-f5eb-4313-acea-6721668a8584,"Tue, 10 Mar 2020 07:00:00 GMT","Here are the latest coronavirus travel waivers from airlines, Amtrak and Greyhound"
26,"Delta, American Airlines Signal Major Capacity Cuts | Air Transport News",https://www.ainonline.com/aviation-news/air-transport/2020-03-10/delta-american-airlines-signal-major-capacity-cuts,"Tue, 10 Mar 2020 07:00:00 GMT","Delta, American Airlines Signal Major Capacity Cuts | Air Transport News"
27,How To Fly To China Amid Coronavirus Flight Suspensions,https://simpleflying.com/how-to-fly-to-china-coronavirus/,"Wed, 11 Mar 2020 07:00:00 GMT",How To Fly To China Amid Coronavirus Flight Suspensions
28,Port of Seattle moves toward implementing facial recognition,https://www.seattletimes.com/business/boeing-aerospace/port-of-seattle-moves-toward-implementing-facial-recognition/,"Tue, 10 Mar 2020 07:00:00 GMT",Port of Seattle moves toward implementing facial recognition
29,The Oil Price Collapse Will Do Very Little To Help Struggling Airlines Suffering From A Coronavirus Demand Slump,https://www.forbes.com/sites/jamesasquith/2020/03/10/the-oil-price-collapse-will-do-very-little-to-help-struggling-airlines-suffering-from-a-coronavirus-demand-slump/,"Tue, 10 Mar 2020 07:00:00 GMT",The Oil Price Collapse Will Do Very Little To Help Struggling Airlines Suffering From A Coronavirus Demand Slump
