,title,link,pubDate,description
0,How GraphQL Can Improve IBM i APIs,https://www.itjungle.com/2020/03/09/how-graphql-can-improve-ibm-i-apis/,"Mon, 09 Mar 2020 07:00:00 GMT",How GraphQL Can Improve IBM i APIs
1,"IBM z15 Almost Doubles Cache Density, Features 960MiB L4 eDRAM",https://www.tomshardware.com/news/ibm-z15-almost-doubles-cache-density-features-960mib-l4-edram,"Sun, 08 Mar 2020 08:00:00 GMT","IBM z15 Almost Doubles Cache Density, Features 960MiB L4 eDRAM"
2,"Companies Are Spending More on AWS, Microsoft, and Less on Oracle, IBM",https://www.businessinsider.com/companies-spending-more-aws-microsoft-oracle-ibm-2020-3,"Sun, 08 Mar 2020 08:00:00 GMT","Companies Are Spending More on AWS, Microsoft, and Less on Oracle, IBM"
3,Why Honeywell can’t claim ‘the world’s most powerful quantum computer’,https://venturebeat.com/2020/03/08/why-honeywell-cant-claim-the-worlds-most-powerful-quantum-computer/,"Sun, 08 Mar 2020 08:00:00 GMT",Why Honeywell can’t claim ‘the world’s most powerful quantum computer’
