,title,link,pubDate,description
0,Warren Buffett’s Berkshire Hathaway Bought More Delta. It Won’t Buy the Company.,https://www.barrons.com/articles/berkshire-hathaway-increased-its-stake-in-delta-its-still-unlikely-to-buy-all-of-delta-51583251783,"Tue, 03 Mar 2020 08:00:00 GMT",Warren Buffett’s Berkshire Hathaway Bought More Delta. It Won’t Buy the Company.
1,"American, Delta airlines waiving change fees amid coronavirus outbreak | TheHill",https://thehill.com/blogs/blog-briefing-room/news/485642-american-delta-airlines-waiving-change-fees-amid-coronavirus,"Tue, 03 Mar 2020 08:00:00 GMT","American, Delta airlines waiving change fees amid coronavirus outbreak | TheHill"
2,Delta adds DFW-to-Seattle flights in counter to American’s deal with Alaska Airlines,https://www.dallasnews.com/business/airlines/2020/03/03/delta-adds-dfw-to-seattle-flights-in-counter-to-americans-deal-with-alaska-airlines/,"Tue, 03 Mar 2020 08:00:00 GMT",Delta adds DFW-to-Seattle flights in counter to American’s deal with Alaska Airlines
3,"Delta adding second nonstop flight between Spokane, Los Angeles this September",https://www.khq.com/news/delta-adding-second-nonstop-flight-between-spokane-los-angeles-this-september/article_d6d655ee-5d5b-11ea-b498-7b55ca5f4bf9.html,"Tue, 03 Mar 2020 08:00:00 GMT","Delta adding second nonstop flight between Spokane, Los Angeles this September"
4,"Delta considers early MD-88, MD-90 retirements as possible coronavirus response",https://thepointsguy.com/news/delta-considers-early-md-88-md-90-retirements-as-possible-coronavirus-response/,"Tue, 03 Mar 2020 08:00:00 GMT","Delta considers early MD-88, MD-90 retirements as possible coronavirus response"
5,Delta Air Lines Takes Huge Sponsorship in 2028 Olympics,https://www.travelpulse.com/news/airlines/delta-air-lines-takes-huge-sponsorship-in-2028-olympics.html,"Tue, 03 Mar 2020 08:00:00 GMT",Delta Air Lines Takes Huge Sponsorship in 2028 Olympics
6,Los Angeles 2028 sign Delta Air Lines as inaugural founding partner,https://www.insidethegames.biz/articles/1091379/los-angeles-2028-delta-partnership,"Tue, 03 Mar 2020 08:00:00 GMT",Los Angeles 2028 sign Delta Air Lines as inaugural founding partner
7,"Pulling ahead of United, Delta will become the official airline of the U.S. Olympics next year",https://thepointsguy.com/news/united-delta-official-airline-of-us-olympics/,"Tue, 03 Mar 2020 08:00:00 GMT","Pulling ahead of United, Delta will become the official airline of the U.S. Olympics next year"
8,Delta Will Now Be Serving Spiked Seltzer On Its Airplanes And 2020 Is Already Incredible,https://www.delish.com/food-news/a31207213/delta-airlines-serving-spiked-seltzer/,"Tue, 03 Mar 2020 08:00:00 GMT",Delta Will Now Be Serving Spiked Seltzer On Its Airplanes And 2020 Is Already Incredible
9,Delta Becoming Official Airline of Team USA for 2028 Olympics,https://www.travelandleisure.com/attractions/sporting-events/delta-air-lines-sponsor-olympics-la-2028-summer,"Tue, 03 Mar 2020 08:00:00 GMT",Delta Becoming Official Airline of Team USA for 2028 Olympics
10,"Sea-Tac Airport, Delta, Alaska Airlines launch coronavirus disinfection blitz effort - Puget Sound Business Journal",https://www.bizjournals.com/seattle/news/2020/03/03/sea-tac-airport-airlines-launch-covid-19.html,"Tue, 03 Mar 2020 08:00:00 GMT","Sea-Tac Airport, Delta, Alaska Airlines launch coronavirus disinfection blitz effort - Puget Sound Business Journal"
11,Delta signs deal for 2028 LA Olympics,https://www.airlineratings.com/news/delta-signs-deal-2028-la-olympics/,"Wed, 04 Mar 2020 08:00:00 GMT",Delta signs deal for 2028 LA Olympics
12,Why Shares of Major U.S. Airlines Declined in February,https://www.fool.com/investing/2020/03/03/why-shares-of-major-us-airlines-declined-in-februa.aspx,"Tue, 03 Mar 2020 08:00:00 GMT",Why Shares of Major U.S. Airlines Declined in February
13,COVID-19: Major US and UK Airlines Waive Change Fees - SamChui.com,https://samchui.com/2020/03/04/covid-19-major-us-and-uk-airlines-waive-change-fees/,"Wed, 04 Mar 2020 08:00:00 GMT",COVID-19: Major US and UK Airlines Waive Change Fees - SamChui.com
14,Korean Air suspends Sea-Tac flights as local coronavirus outbreak grows,https://www.kuow.org/stories/korean-is-latest-to-suspend-sea-tac-flights,"Tue, 03 Mar 2020 08:00:00 GMT",Korean Air suspends Sea-Tac flights as local coronavirus outbreak grows
