,title,link,pubDate,description
0,"KCC, 친환경 무용제 도료 개발…초대형광석선에 첫 적용",https://www.yna.co.kr/view/AKR20200310084200003,"Tue, 10 Mar 2020 07:00:00 GMT","KCC, 친환경 무용제 도료 개발…초대형광석선에 첫 적용"
1,국내 최고 자본시장(Capital Markets) 미디어,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202003061504062720104958&lcode=00,"Mon, 09 Mar 2020 07:00:00 GMT",국내 최고 자본시장(Capital Markets) 미디어
2,"KCC 친환경 도료, 현대重 선박에 입힌다",https://www.sedaily.com/NewsVIew/1Z0584ORX7,"Tue, 10 Mar 2020 07:00:00 GMT","KCC 친환경 도료, 현대重 선박에 입힌다 - 서울경제"
