,title,link,pubDate,description
0,"삼성전자, 뉴질랜드 최대 이동통신사업자 스파크(Spark)와 5G 이동통신장비 공급 계약",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EB%89%B4%EC%A7%88%EB%9E%9C%EB%93%9C-%EC%B5%9C%EB%8C%80-%EC%9D%B4%EB%8F%99%ED%86%B5%EC%8B%A0%EC%82%AC%EC%97%85%EC%9E%90-%EC%8A%A4%ED%8C%8C%ED%81%ACspark,"Thu, 05 Mar 2020 08:00:00 GMT","삼성전자, 뉴질랜드 최대 이동통신사업자 스파크(Spark)와 5G 이동통신장비 공급 계약"
1,"삼성, 'AI'로 'AI 반도체' 만들 발판 마련했다",https://zdnet.co.kr/view/?no=20200304172755,"Wed, 04 Mar 2020 08:00:00 GMT","삼성, 'AI'로 'AI 반도체' 만들 발판 마련했다"
2,"삼성전자, 지난해 전 세계 스마트폰 판매량 1위 지켜",https://biz.chosun.com/site/data/html_dir/2020/03/04/2020030403023.html,"Wed, 04 Mar 2020 08:00:00 GMT","삼성전자, 지난해 전 세계 스마트폰 판매량 1위 지켜 - 조선비즈"
3,왜 접어야 하나? 삼성의 두번째 폴더블폰도 답을 못했다,http://www.thescoop.co.kr/news/articleView.html?idxno=38478,"Thu, 05 Mar 2020 08:00:00 GMT",왜 접어야 하나? 삼성의 두번째 폴더블폰도 답을 못했다
4,"삼성전자, 데이터IT센터 신설…""반도체 공장에 AI 접목""",https://www.digitaltoday.co.kr/news/articleView.html?idxno=224887,"Wed, 04 Mar 2020 08:00:00 GMT","삼성전자, 데이터IT센터 신설…""반도체 공장에 AI 접목"""
5,"삼성전자, 반도체 소프트웨어도 초격차… 새로운 데이터 플랫폼 출시",https://www.etoday.co.kr/news/view/1865275,"Thu, 05 Mar 2020 08:00:00 GMT","삼성전자, 반도체 소프트웨어도 초격차… 새로운 데이터 플랫폼 출시"
6,"삼성전자, DS부문에 DIT 센터 신설…데이터 효율적 관리·활용 나서",http://it.chosun.com/site/data/html_dir/2020/03/04/2020030403253.html,"Wed, 04 Mar 2020 08:00:00 GMT","삼성전자, DS부문에 DIT 센터 신설…데이터 효율적 관리·활용 나서"
7,"삼성전자-TSMC, 애플 AP 수주 놓고 재격돌…기술력·환경 과거와 달라",https://www.asiatoday.co.kr/view.php?key=20200304010002775,"Wed, 04 Mar 2020 08:00:00 GMT","삼성전자-TSMC, 애플 AP 수주 놓고 재격돌…기술력·환경 과거와 달라"
8,"삼성전자, DS부문 산하 'DIT 센터' 신설",https://biz.chosun.com/site/data/html_dir/2020/03/04/2020030403350.html,"Wed, 04 Mar 2020 08:00:00 GMT","삼성전자, DS부문 산하 'DIT 센터' 신설 - 조선비즈"
9,"삼성 공채연기 검토, 현대車·LG 일정 고민…코로나에 막힌 채용",https://www.mk.co.kr/news/business/view/2020/03/230213/,"Wed, 04 Mar 2020 08:00:00 GMT","삼성 공채연기 검토, 현대車·LG 일정 고민…코로나에 막힌 채용"
