,title,link,pubDate,description
0,"[POST-IPO] 조선업 세계 1위 현대중공업 '메탄 줄이기' 본격화 ... ""실적개선 잠재력 업계최고 수준"" 부터 The Stock",https://kr.investing.com/news/stock-market-news/article-723035,"Sat, 13 Nov 2021 07:41:00 GMT","[POST-IPO] 조선업 세계 1위 현대중공업 '메탄 줄이기' 본격화 ... ""실적개선 잠재력 업계최고 수준"" 부터 The Stock"
1,2년 만에 오프라인 컴백하는 CES…미래 산업 신기술 쏟아진다,https://www.mk.co.kr/news/business/view/2021/11/1070612/,"Sat, 13 Nov 2021 20:30:02 GMT",2년 만에 오프라인 컴백하는 CES…미래 산업 신기술 쏟아진다
2,"이재명, 부울경 2박3일 순회 마지막날…대우조선·KAI 방문",https://www.mk.co.kr/news/politics/view/2021/11/1070608/,"Sat, 13 Nov 2021 20:00:01 GMT","이재명, 부울경 2박3일 순회 마지막날…대우조선·KAI 방문"
3,2030 표심 잡아라… 李 'MZ세대 토크쇼'-尹 '프로야구 1차전 관람',http://www.newscj.com/news/articleView.html?idxno=921367,"Sat, 13 Nov 2021 23:06:18 GMT",2030 표심 잡아라… 李 'MZ세대 토크쇼'-尹 '프로야구 1차전 관람'
4,"민주당 이재명 후보, 창원에서 민생 탐방",https://news.kbs.co.kr/news/view.do?ncd=5324456,"Sat, 13 Nov 2021 12:45:00 GMT","민주당 이재명 후보, 창원에서 민생 탐방"
5,"방사청장 ""KF-21 재협상 120% 만족…인니 연체금 납부할 것""",http://www.fntoday.co.kr/news/articleView.html?idxno=266232,"Sat, 13 Nov 2021 07:17:40 GMT","방사청장 ""KF-21 재협상 120% 만족…인니 연체금 납부할 것"""
6,[지난주 증권가 주요 이슈] 불법주식 '리딩방' 70곳 적발…“과도한 IPO 증거금은 불필요” 청약증거금률 조정 전망 外,http://www.youthdaily.co.kr/news/article.html?no=85811,"Sat, 13 Nov 2021 15:00:00 GMT",[지난주 증권가 주요 이슈] 불법주식 '리딩방' 70곳 적발…“과도한 IPO 증거금은 불필요” 청약증거금률 조정 전망 外
7,"COVID-19 업데이트, 분석, 유형, 응용 프로그램, 2026년까지 예측된 해양 코팅 시장 조사 보고서",https://icibs.org/news/684522/covid-19-%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8-%EB%B6%84%EC%84%9D-%EC%9C%A0%ED%98%95-%EC%9D%91%EC%9A%A9-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8-2026%EB%85%84%EA%B9%8C%EC%A7%80-%EC%98%88%EC%B8%A1-70/,"Sat, 13 Nov 2021 01:12:59 GMT","COVID-19 업데이트, 분석, 유형, 응용 프로그램, 2026년까지 예측된 해양 코팅 시장 조사 보고서 – 1인방송국 (주) 코난방송 CIBS"
8,"CNC 지그 그라인더 시장 2021은 2027년까지 시나리오, 주요 업체, 세그먼트 분석 및 성장을 수신합니다.",https://icibs.org/news/684830/cnc-%EC%A7%80%EA%B7%B8-%EA%B7%B8%EB%9D%BC%EC%9D%B8%EB%8D%94-%EC%8B%9C%EC%9E%A5-2021%EC%9D%80-2027%EB%85%84%EA%B9%8C%EC%A7%80-%EC%8B%9C%EB%82%98%EB%A6%AC%EC%98%A4-%EC%A3%BC%EC%9A%94-%EC%97%85%EC%B2%B4/,"Sat, 13 Nov 2021 05:14:13 GMT","CNC 지그 그라인더 시장 2021은 2027년까지 시나리오, 주요 업체, 세그먼트 분석 및 성장을 수신합니다. – 1인방송국 (주) 코난방송 CIBS"
