,title,link,pubDate,description
0,"외국인이 던진 삼성전자, 개미 '4兆 싹쓸이'",https://www.hankyung.com/finance/article/202003084317i,"Sun, 08 Mar 2020 08:00:00 GMT","외국인이 던진 삼성전자, 개미 '4兆 싹쓸이'"
1,스토리슈머가 주목한 '삼성전자 노필터 챌린지',http://www.iconsumer.or.kr/news/articleView.html?idxno=11220,"Sun, 08 Mar 2020 08:00:00 GMT",스토리슈머가 주목한 '삼성전자 노필터 챌린지'
2,"삼성전자 화성공장 불 2시간30분만에 완진…""인명피해 없어""(종합2보)",https://www.yna.co.kr/view/AKR20200309000552061,"Mon, 09 Mar 2020 07:00:00 GMT","삼성전자 화성공장 불 2시간30분만에 완진…""인명피해 없어""(종합2보)"
3,"삼성전자 화성 반도체 공장서 화재 2시간 30분만에 진화...""생산 차질 없어""",https://www.chosun.com/site/data/html_dir/2020/03/09/2020030900034.html,"Mon, 09 Mar 2020 07:00:00 GMT","삼성전자 화성 반도체 공장서 화재 2시간 30분만에 진화...""생산 차질 없어"" - 조선일보"
4,삼성전자 화성 반도체공장 화재…2시간여만에 진화,https://www.upinews.kr/newsView/upi202003090009,"Mon, 09 Mar 2020 07:00:00 GMT",삼성전자 화성 반도체공장 화재…2시간여만에 진화
5,반도체 생산에는 문제없다지만…또 아찔한 순간 맞은 삼성전자,http://it.chosun.com/site/data/html_dir/2020/03/09/2020030901870.html,"Mon, 09 Mar 2020 07:00:00 GMT",반도체 생산에는 문제없다지만…또 아찔한 순간 맞은 삼성전자
6,"삼성은 북미로, 화웨이는 유럽으로…'5G 장비 전쟁' 격화",https://www.hankyung.com/it/article/202003059827i,"Mon, 09 Mar 2020 07:00:00 GMT","삼성은 북미로, 화웨이는 유럽으로…'5G 장비 전쟁' 격화"
7,삼성전자 반도체 화성공장서 화재…폐수처리장 추정,https://www.hankookilbo.com/News/Read/202003090060092793,"Mon, 09 Mar 2020 07:00:00 GMT",삼성전자 반도체 화성공장서 화재…폐수처리장 추정
8,"삼성 화성반도체 공장 화재 2시간여만에 진화…""생산차질 없다""",https://news.mt.co.kr/mtview.php?no=2020030907521468789,"Mon, 09 Mar 2020 07:00:00 GMT","삼성 화성반도체 공장 화재 2시간여만에 진화…""생산차질 없다"""
9,"삼성전자·TSMC, 퀄컴·브로드컴 맞손..5나노 파운드리 경쟁 본격화",https://www.edaily.co.kr/news/read?newsId=02207446625701352&mediaCodeNo=257,"Sun, 08 Mar 2020 08:00:00 GMT","삼성전자·TSMC, 퀄컴·브로드컴 맞손..5나노 파운드리 경쟁 본격화"
10,"화성 삼성전자 반도체 공장 화재 2시간 30분 만에 진화…""생산 차질 無""",http://it.chosun.com/site/data/html_dir/2020/03/09/2020030900087.html,"Mon, 09 Mar 2020 07:00:00 GMT","화성 삼성전자 반도체 공장 화재 2시간 30분 만에 진화…""생산 차질 無"""
11,"中, 한국인 비자 발급 사실상 중단…삼성전자·SK하이닉스 ""애가 탄다""",https://www.hankyung.com/economy/article/202003084660i,"Sun, 08 Mar 2020 08:00:00 GMT","中, 한국인 비자 발급 사실상 중단…삼성전자·SK하이닉스 ""애가 탄다"""
12,삼성전자 외인 비중 13개월 만 최저,http://mbiz.heraldcorp.com/view.php?ud=20200309000159,"Mon, 09 Mar 2020 07:00:00 GMT",삼성전자 외인 비중 13개월 만 최저 - 헤럴드경제 뉴스
13,"가슴 쓸어내린 삼성전자... 화성 반도체 공장서 화재 ""인명 피해 없어""",http://www.wikileaks-kr.org/news/articleView.html?idxno=79700,"Mon, 09 Mar 2020 07:00:00 GMT","가슴 쓸어내린 삼성전자... 화성 반도체 공장서 화재 ""인명 피해 없어"""
14,삼성전자 화성사업장 불…인명피해 없어,https://m.newspim.com/news/view/20200309000002,"Mon, 09 Mar 2020 07:00:00 GMT",삼성전자 화성사업장 불…인명피해 없어
15,"[특징주] 삼성전자, 외국인 매도 공세에 3%대 약세",https://www.inews24.com/view/1248494,"Mon, 09 Mar 2020 07:00:00 GMT","[특징주] 삼성전자, 외국인 매도 공세에 3%대 약세"
16,"삼성전자·내셔널지오그래픽, TV 액자 삼아 '멸종위기 동물 사진전' 개최",http://www.greenpostkorea.co.kr/news/articleView.html?idxno=115134,"Mon, 09 Mar 2020 07:00:00 GMT","삼성전자·내셔널지오그래픽, TV 액자 삼아 '멸종위기 동물 사진전' 개최"
17,"삼성전자 화성공장 화재 '진화'···""인명피해·생산차질 없어""",https://www.seoulfn.com/news/articleView.html?idxno=374601,"Mon, 09 Mar 2020 07:00:00 GMT","삼성전자 화성공장 화재 '진화'···""인명피해·생산차질 없어"""
18,"'한밤 화재' 삼성전자 화성사업장, 작년말 정전사고 난 곳",https://www.news1.kr/articles/?3866881,"Mon, 09 Mar 2020 07:00:00 GMT","'한밤 화재' 삼성전자 화성사업장, 작년말 정전사고 난 곳"
19,삼성전자 화성공장에서 불 2시간30분만에 진화,https://www.g-enews.com/view.php?ud=202003090536579823a218188523_1,"Mon, 09 Mar 2020 07:00:00 GMT",삼성전자 화성공장에서 불 2시간30분만에 진화
20,'갤럭시S20' 글로벌 출격… 삼성 '5G 선점' 정조준,https://biz.newdaily.co.kr/site/data/html/2020/03/09/2020030900068.html,"Mon, 09 Mar 2020 07:00:00 GMT",'갤럭시S20' 글로벌 출격… 삼성 '5G 선점' 정조준
21,삼성 갤럭시Z플립 인기 '고공행진'…20여 개국서 초도 물량 완판,https://www.etoday.co.kr/news/view/1867322,"Mon, 09 Mar 2020 07:00:00 GMT",삼성 갤럭시Z플립 인기 '고공행진'…20여 개국서 초도 물량 완판
22,"삼성·LG전자, 8K TV 마케팅 총력…코로나19·도쿄올림픽 '최대 변수'",http://www.newsworks.co.kr/news/articleView.html?idxno=438579,"Mon, 09 Mar 2020 07:00:00 GMT","삼성·LG전자, 8K TV 마케팅 총력…코로나19·도쿄올림픽 '최대 변수'"
23,새벽에 반도체 화성공장서 불나 ‘불길’ 치솟은 삼성전자,https://www.insight.co.kr/news/272494,"Mon, 09 Mar 2020 07:00:00 GMT",새벽에 반도체 화성공장서 불나 ‘불길’ 치솟은 삼성전자
24,[단말기] 역시 최강 갤S20…가성비 `플러스` 가심비는 `울트라`,https://www.mk.co.kr/news/it/view/2020/03/243495/,"Mon, 09 Mar 2020 07:00:00 GMT",[단말기] 역시 최강 갤S20…가성비 `플러스` 가심비는 `울트라`
