,title,link,pubDate,description
0,"신세계백화점, 홈술족 늘자 와인 매출 5.2%↑…식품 장르서 유일하게 성장",https://www.etoday.co.kr/news/view/1867179,"Mon, 09 Mar 2020 07:00:00 GMT","신세계백화점, 홈술족 늘자 와인 매출 5.2%↑…식품 장르서 유일하게 성장"
1,"아워홈과 '남매 분쟁' 캘리스코, 신세계푸드와 맞손",https://www.upinews.kr/newsView/upi202003090054,"Mon, 09 Mar 2020 07:00:00 GMT","아워홈과 '남매 분쟁' 캘리스코, 신세계푸드와 맞손"
2,"신세계 '스무디킹', 편의점 숍인숍으로 살길 찾나",https://www.sedaily.com/NewsVIew/1Z04B8VM7W,"Sun, 08 Mar 2020 08:00:00 GMT","신세계 '스무디킹', 편의점 숍인숍으로 살길 찾나 - 서울경제"
3,'캘리스코' 식자재 공급처 신세계푸드로 변경,https://www.thinkfood.co.kr/news/articleView.html?idxno=86709,"Mon, 09 Mar 2020 07:00:00 GMT",'캘리스코' 식자재 공급처 신세계푸드로 변경
4,"'아워홈과 분쟁' 캘리스코, 신세계 손 잡았다",http://news.bizwatch.co.kr/article/consumer/2020/03/09/0003,"Mon, 09 Mar 2020 07:00:00 GMT","'아워홈과 분쟁' 캘리스코, 신세계 손 잡았다"
5,"[단독] SSG닷컴, 실시간 항공권 예약 서비스 'tr,iip' 오픈",https://biz.newdaily.co.kr/site/data/html/2020/03/09/2020030900109.html,"Mon, 09 Mar 2020 07:00:00 GMT","[단독] SSG닷컴, 실시간 항공권 예약 서비스 'tr,iip' 오픈"
6,"씰리침대, 신세계백화점 입점 10주년 기념 감사 프로모션 진행",https://news.mt.co.kr/mtview.php?no=2020030909390689493,"Mon, 09 Mar 2020 07:00:00 GMT","씰리침대, 신세계백화점 입점 10주년 기념 감사 프로모션 진행"
7,"아워홈과 '남매 갈등' 캘리스코, 사촌과 협업 통해 해외 진출",https://www.etoday.co.kr/news/view/1867263,"Mon, 09 Mar 2020 07:00:00 GMT","아워홈과 '남매 갈등' 캘리스코, 사촌과 협업 통해 해외 진출"
8,"G마켓-옥션, '패션스타일위크' 83개 브랜드 연합 세일… 15일까지",https://biz.newdaily.co.kr/site/data/html/2020/03/09/2020030900074.html,"Mon, 09 Mar 2020 07:00:00 GMT","G마켓-옥션, '패션스타일위크' 83개 브랜드 연합 세일… 15일까지"
