Date,Close,Fluctuation
2020-03-02,74.7,
2020-03-03,72.33,-3.1726907630522105
2020-03-04,75.68,4.63154984100651
2020-03-05,73.23,-3.2373150105708293
2020-03-06,72.26,-1.3245937457326162
2020-03-09,66.54,-7.915859396623304
2020-03-10,71.33,7.198677487225713
