,title,link,pubDate,description
21,美 국무부 차관보는 왜 한국까지 와서 기업인들을 만났나 - 동아일보,https://www.donga.com/news/Inter/article/all/20211113/110225200/1,"Fri, 12 Nov 2021 21:53:00 GMT",美 국무부 차관보는 왜 한국까지 와서 기업인들을 만났나
22,"[강경래의 인더스트리]LG, 휴대폰 철수한 사연은 - 이데일리",https://www.edaily.co.kr/news/read?newsId=01193926629245392&mediaCodeNo=257,"Fri, 12 Nov 2021 23:00:05 GMT","[강경래의 인더스트리]LG, 휴대폰 철수한 사연은"
23,"요소수에 기름값 인하까지…""주말 주유소 붐벼요"" - 비즈니스워치",http://news.bizwatch.co.kr/article/industry/2021/11/13/0001,"Fri, 12 Nov 2021 22:40:02 GMT","요소수에 기름값 인하까지…""주말 주유소 붐벼요"""
24,한국 ‘외환위기 트라우마’ 덕분 중진국 함정 탈출 - 동아일보,https://www.donga.com/news/Economy/article/all/20211113/110229256/1,"Sat, 13 Nov 2021 09:12:00 GMT",한국 ‘외환위기 트라우마’ 덕분 중진국 함정 탈출
25,"양경숙 “삼성 페이퍼컴퍼니 의혹 수사해야”…박범계 “경찰, 조세범처벌법 위반 혐의 수사 중” - 헤럴드경제 뉴스 - 헤럴드경제 모바일",http://mbiz.heraldcorp.com/view.php?ud=20211113000044,"Sat, 13 Nov 2021 02:52:20 GMT","양경숙 “삼성 페이퍼컴퍼니 의혹 수사해야”…박범계 “경찰, 조세범처벌법 위반 혐의 수사 중” - 헤럴드경제 뉴스"
26,故 이병철 회장 다음 주 추도식…이재용 부회장 메시지 주목 - 더팩트,http://news.tf.co.kr/read/economy/1899306.htm,"Fri, 12 Nov 2021 15:00:03 GMT",故 이병철 회장 다음 주 추도식…이재용 부회장 메시지 주목
27,[위크리뷰]금리·유가·물가 3高현상 현실화…정부도 '공급망·인플레 우려' - 아시아경제,https://www.asiae.co.kr/article/economic-general/2021111311112524047,"Sat, 13 Nov 2021 01:45:00 GMT",[위크리뷰]금리·유가·물가 3高현상 현실화…정부도 '공급망·인플레 우려'
28,임기 4년 내내 급한일 터질 때마다 이재용에 도움 요청하는 정부 - 인사이트,https://www.insight.co.kr/news/367750,"Sat, 13 Nov 2021 07:21:22 GMT",임기 4년 내내 급한일 터질 때마다 이재용에 도움 요청하는 정부
29,뉴시스 - 뉴시스,https://mobile.newsis.com/view.html?ar_id=NISX20211112_0001649711,"Sat, 13 Nov 2021 05:14:00 GMT",뉴시스
30,김장은 안 해도 김치냉장고는 샀어요 예쁘잖아요 - 노컷뉴스,https://www.nocutnews.co.kr/news/5656222,"Fri, 12 Nov 2021 21:00:00 GMT",김장은 안 해도 김치냉장고는 샀어요 예쁘잖아요
31,보급형 스마트폰 카메라 스펙도 '고고익선' - 이투데이,https://www.etoday.co.kr/news/view/2077590,"Sat, 13 Nov 2021 00:00:00 GMT",보급형 스마트폰 카메라 스펙도 '고고익선'
32,"삼성생명, 어닝 쇼크에도 저가 매수 기회 - 헤럴드경제 뉴스 - 헤럴드경제",http://mbiz.heraldcorp.com/view.php?ud=20211113000015,"Fri, 12 Nov 2021 23:20:20 GMT","삼성생명, 어닝 쇼크에도 저가 매수 기회 - 헤럴드경제 뉴스"
33,[주간 추천주] 메타버스·NFT 쏠림 현상 지속…반도체·자동차도 관심 - 아이뉴스24,https://www.inews24.com/view/1422002,"Sat, 13 Nov 2021 04:00:00 GMT",[주간 추천주] 메타버스·NFT 쏠림 현상 지속…반도체·자동차도 관심
34,"“글로벌 5G 스마트폰 시장, 애플 아이폰이 선두” - 아주경제",https://www.ajunews.com/view/20211113091706435,"Sat, 13 Nov 2021 00:52:11 GMT","“글로벌 5G 스마트폰 시장, 애플 아이폰이 선두”"
35,"베트남, 코로나19 하루 확진자 9천 명 육박 - KBS뉴스",https://news.kbs.co.kr/news/view.do?ncd=5324367,"Sat, 13 Nov 2021 05:50:00 GMT","베트남, 코로나19 하루 확진자 9천 명 육박"
36,'전태일 계승' 2만명 민노총 집회…차량 엉키고 '아수라장' - 머니투데이,https://news.mt.co.kr/mtview.php?no=2021111315302939807,"Sat, 13 Nov 2021 08:04:24 GMT",'전태일 계승' 2만명 민노총 집회…차량 엉키고 '아수라장'
37,​변동성 장세 믿을 건 ETF… 코스피 회전율 상위종목 대다수 - 아주경제,https://www.ajunews.com/view/20211113140921461,"Sat, 13 Nov 2021 07:59:03 GMT",​변동성 장세 믿을 건 ETF… 코스피 회전율 상위종목 대다수
38,"[날씨 영상] ""낮부터 포근해요"" 전국 평년 기온 회복…건조주의보, 불조심 피부엔 영양크림 듬뿍! - 뉴스클레임",https://www.newsclaim.co.kr/news/articleView.html?idxno=3001393,"Fri, 12 Nov 2021 23:56:18 GMT","[날씨 영상] ""낮부터 포근해요"" 전국 평년 기온 회복…건조주의보, 불조심 피부엔 영양크림 듬뿍!"
39,"대구경북 지역기업 스마트 호흡 진단·치료시스템 'CES 혁신상' 첫 선정 ""눈길"" - 스마트시티투데이",https://www.smartcitytoday.co.kr/news/articleView.html?idxno=21855,"Sat, 13 Nov 2021 01:00:16 GMT","대구경북 지역기업 스마트 호흡 진단·치료시스템 'CES 혁신상' 첫 선정 ""눈길"""
40,"구자근 의원, 황희 장관 면담 통해 구미지역 주요 사업 건의 - 경북탑뉴스",https://www.ktn1.net/news/articleView.html?idxno=12322,"Sat, 13 Nov 2021 09:16:18 GMT","구자근 의원, 황희 장관 면담 통해 구미지역 주요 사업 건의"
41,"'555공약' 내건 안철수 박정희는 산업화, 김대중은 정보화 - 헤럴드경제 뉴스 - 헤럴드경제 모바일",http://mbiz.heraldcorp.com/view.php?ud=20211113000090,"Sat, 13 Nov 2021 10:56:27 GMT","'555공약' 내건 안철수 박정희는 산업화, 김대중은 정보화 - 헤럴드경제 뉴스"
42,[스타트업PICK] 돈이 몰린다...계속되는 투자 행렬 - 아주경제_모바일,https://www.ajunews.com/view/20211113164417486?utm_source=ajunews&utm_medium=view&utm_campaign=real,"Sat, 13 Nov 2021 07:48:27 GMT",[스타트업PICK] 돈이 몰린다...계속되는 투자 행렬
43,"휴대 전화 패널 디스플레이 드라이버 IC 시장 기술 개발 및 연구 보고서 2021 – 2027 | 삼성전자, 노바텍, 하이맥스, 시냅틱스 – 1인방송국 (주) 코난방송 CIBS - 1인방송국 (주) 코난방송 CIBS",https://icibs.org/news/686183/%ED%9C%B4%EB%8C%80-%EC%A0%84%ED%99%94-%ED%8C%A8%EB%84%90-%EB%94%94%EC%8A%A4%ED%94%8C%EB%A0%88%EC%9D%B4-%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B2%84-ic-%EC%8B%9C%EC%9E%A5-%EA%B8%B0%EC%88%A0-%EA%B0%9C%EB%B0%9C/,"Sat, 13 Nov 2021 09:46:15 GMT","휴대 전화 패널 디스플레이 드라이버 IC 시장 기술 개발 및 연구 보고서 2021 – 2027 | 삼성전자, 노바텍, 하이맥스, 시냅틱스 – 1인방송국 (주) 코난방송 CIBS"
44,“MZ와 눈높이 맞춘다”…삼성의 신인사제도가 주목받는 이유 [뉴스원샷] - MSN,https://www.msn.com/ko-kr/money/topstories/mz%EC%99%80-%EB%88%88%EB%86%92%EC%9D%B4-%EB%A7%9E%EC%B6%98%EB%8B%A4-%EC%82%BC%EC%84%B1%EC%9D%98-%EC%8B%A0%EC%9D%B8%EC%82%AC%EC%A0%9C%EB%8F%84%EA%B0%80-%EC%A3%BC%EB%AA%A9%EB%B0%9B%EB%8A%94-%EC%9D%B4%EC%9C%A0-%EB%89%B4%EC%8A%A4%EC%9B%90%EC%83%B7/ar-AAQDO3z,"Fri, 12 Nov 2021 21:00:00 GMT",“MZ와 눈높이 맞춘다”…삼성의 신인사제도가 주목받는 이유 [뉴스원샷]
45,"파워풀엑스, 사내벤처 육성 프로그램 운영기업 선정 - 경상일보",http://www.ksilbo.co.kr/news/articleView.html?idxno=918410,"Sat, 13 Nov 2021 00:05:00 GMT","파워풀엑스, 사내벤처 육성 프로그램 운영기업 선정"
46,"증권가, 연말정산 상품 고객몰이...퇴직연금·IRP 가입 이벤트 봇물 - 아시아경제",https://cm.asiae.co.kr/article/2021111210470581980,"Fri, 12 Nov 2021 22:30:00 GMT","증권가, 연말정산 상품 고객몰이...퇴직연금·IRP 가입 이벤트 봇물"
47,'테슬라 손잡는다' 대규모 공급계약 극비리 재료株 - 아시아경제,https://cm.asiae.co.kr/article/2021111216054536668,"Sat, 13 Nov 2021 03:00:00 GMT",'테슬라 손잡는다' 대규모 공급계약 극비리 재료株
48,"[데일리-경제만평] 바이든 행정부, 한국 반도체 영업비밀 자료 미비시 추가조치 가능? - 데일리매거진",http://www.dailymagazine.co.kr/news/newsview.php?ncode=1065600196052142,"Sat, 13 Nov 2021 08:03:20 GMT","[데일리-경제만평] 바이든 행정부, 한국 반도체 영업비밀 자료 미비시 추가조치 가능?"
49,"'다우존스 지속가능지수'에 현대차, 카카오 등 국내 21개사 편입 - 전자신문",https://m.etnews.com/20211113000008,"Sat, 13 Nov 2021 01:51:00 GMT","'다우존스 지속가능지수'에 현대차, 카카오 등 국내 21개사 편입"
50,"글로벌 하이브리드 TV 및 맨 위 TV 시장 규모 추정 및 비즈니스 통찰력 2021-2028 |샤프 코퍼레이션, 파나소닉, 삼성전자 - 부여타임스",https://www.bytimes.kr/2021/11/12/%EA%B8%80%EB%A1%9C%EB%B2%8C-%ED%95%98%EC%9D%B4%EB%B8%8C%EB%A6%AC%EB%93%9C-tv-%EB%B0%8F-%EB%A7%A8-%EC%9C%84-tv-%EC%8B%9C%EC%9E%A5-%EA%B7%9C%EB%AA%A8-%EC%B6%94%EC%A0%95-%EB%B0%8F-%EB%B9%84%EC%A6%88/,"Fri, 12 Nov 2021 15:28:52 GMT","글로벌 하이브리드 TV 및 맨 위 TV 시장 규모 추정 및 비즈니스 통찰력 2021-2028 |샤프 코퍼레이션, 파나소닉, 삼성전자"
51,글로벌 5G 인프라 시장 2021-2029년 호황 추세 및 예측을 통한 심층 분석 – kftnews - 공정거래신문,https://kftnews.com/%EA%B8%80%EB%A1%9C%EB%B2%8C-5g-%EC%9D%B8%ED%94%84%EB%9D%BC-%EC%8B%9C%EC%9E%A5-2021-2029%EB%85%84-%ED%98%B8%ED%99%A9-%EC%B6%94%EC%84%B8-%EB%B0%8F-%EC%98%88%EC%B8%A1%EC%9D%84-%ED%86%B5%ED%95%9C/,"Sat, 13 Nov 2021 09:09:21 GMT",글로벌 5G 인프라 시장 2021-2029년 호황 추세 및 예측을 통한 심층 분석 – kftnews
52,4K 라이브 스트리밍 웨어러블 카메라 시장 개발 및 분석(Covid-19의 영향) 2021-2027 – 1인방송국 (주) 코난방송 CIBS - 1인방송국 (주) 코난방송 CIBS,https://icibs.org/news/685783/4k-%EB%9D%BC%EC%9D%B4%EB%B8%8C-%EC%8A%A4%ED%8A%B8%EB%A6%AC%EB%B0%8D-%EC%9B%A8%EC%96%B4%EB%9F%AC%EB%B8%94-%EC%B9%B4%EB%A9%94%EB%9D%BC-%EC%8B%9C%EC%9E%A5-%EA%B0%9C%EB%B0%9C-%EB%B0%8F-%EB%B6%84%EC%84%9D/,"Sat, 13 Nov 2021 06:50:21 GMT",4K 라이브 스트리밍 웨어러블 카메라 시장 개발 및 분석(Covid-19의 영향) 2021-2027 – 1인방송국 (주) 코난방송 CIBS
